yyyymm,CDS_01,CDS_02,CDS_03,CDS_04,CDS_05,CDS_06,CDS_07,CDS_08,CDS_09,CDS_10,CDS_11,CDS_12,CDS_13,CDS_14,CDS_15,CDS_16,CDS_17,CDS_18,CDS_19,CDS_20
200112,0.0011,0.0015,0.0016,0.0027,0.0014,0.0029,0.0041,0.0033,0.0024,0.0011,0.0034,0.0014,0.0025,0.0025,0.0061,-0.0245,-0.0019,-0.0012,-0.0464,0.0098
200201,0.0018,0.0011,0.0017,-0.0035,0.0021,-0.0023,-0.0007,0.0018,0.0008,0.0042,0.0044,0.0028,0.0022,0.0031,0.004,0.0033,0.003,0.0098,0.0075,0.0063
200202,0.0003,0.0023,0.0001,0.0006,0.0008,0.0021,0.0003,0.0029,-0.0001,0.0016,0.0022,-0.0004,0.0,0.0028,0.0023,0.0065,-0.0049,-0.0079,0.0005,-0.0029
200203,0.0019,0.001,0.0011,0.0019,0.0034,0.0032,0.0034,0.0047,0.0059,0.0033,0.0042,0.004,0.0044,0.0073,0.0093,0.0062,0.0139,0.0137,0.0159,0.0348
200204,0.0017,0.0016,0.0015,-0.0001,0.0013,0.0021,0.0012,0.0022,-0.0003,0.0016,0.0043,0.0059,-0.0028,0.0052,0.0037,0.0036,0.0042,-0.0092,0.0153,0.0182
200205,0.0014,0.0024,0.002,0.0036,0.0046,0.0061,0.0034,0.0034,0.0039,0.0041,0.0046,0.0059,0.0054,0.0069,0.0094,0.0,0.0111,0.01,0.0016,0.0012
200206,0.0011,0.0023,-0.001,-0.001,-0.002,0.0006,-0.0006,0.0007,0.0011,0.001,-0.0015,-0.0151,0.0029,-0.0017,0.0026,0.0056,-0.0061,-0.0177,-0.0154,-0.0066
200207,-0.0001,-0.0002,-0.0004,-0.0007,-0.0011,-0.0032,-0.0057,-0.0016,-0.003,-0.0035,-0.0009,0.0002,-0.0061,-0.0042,-0.0108,-0.0072,-0.0203,-0.0297,-0.0891,-0.0263
200208,0.0009,-0.0004,0.0007,0.0013,0.002,-0.0001,-0.0002,0.0001,0.0011,0.0032,-0.0011,0.0009,0.0021,-0.0015,-0.007,0.0001,0.0049,-0.0013,0.0118,0.0263
200209,0.0012,0.0016,0.0008,0.0014,-0.0003,-0.002,0.0013,-0.0014,-0.0026,0.0012,0.0023,-0.0077,-0.0034,-0.011,-0.008,0.0034,-0.0036,-0.0068,0.0091,-0.0112
200210,0.0008,0.0016,0.0019,0.0008,0.0016,0.0004,-0.0012,0.001,0.0039,-0.0095,0.0048,0.0029,0.0001,-0.0002,0.0043,0.0065,-0.0019,-0.0105,0.0051,0.0148
200211,0.0006,0.0023,0.0035,0.0034,0.0038,0.0041,0.0061,0.0087,0.0057,0.0076,0.0067,0.0075,0.0147,0.0139,0.0151,0.0258,0.015,0.0395,0.0513,0.0627
200212,0.0017,0.002,0.0011,0.0011,0.0033,0.0012,0.0003,0.0022,0.0037,0.0036,0.0025,0.0041,0.0038,0.0067,0.0063,0.0082,0.0032,0.0054,0.0151,0.0184
200301,0.0013,0.0019,0.0026,0.0029,0.003,0.004,0.0041,0.0044,0.0056,0.0035,0.0022,0.0052,0.0064,0.0058,0.0072,0.0079,0.0092,0.0179,0.0211,0.018
200302,0.0019,0.0016,0.0015,0.0022,0.002,0.0013,0.0024,0.0026,0.0012,0.0023,0.0045,0.0013,0.0017,0.0006,0.003,0.0052,0.0078,0.0009,0.0037,0.0028
200303,0.0016,0.0023,0.0018,0.0021,0.0032,0.0024,0.002,0.0022,0.003,0.0044,0.004,0.0048,0.0033,0.0052,0.0075,-0.0063,0.0111,0.014,0.0192,0.0066
200304,0.0007,0.0028,0.0045,0.0042,0.0042,0.005,0.0058,0.0079,0.0073,0.0077,0.0072,0.0088,0.0091,0.0088,0.012,0.0186,0.0255,0.0236,0.0291,0.0505
